id,value,nearTokenId,createdAt
137805,24691,btc.omft.near,2025-09-01 18:35:23
137806,200000,btc.omft.near,2025-09-01 18:35:23
137810,90000,btc.omft.near,2025-09-01 18:36:22
137811,36000,btc.omft.near,2025-09-01 18:36:22
137812,100000,btc.omft.near,2025-09-01 18:36:22
137813,570000,btc.omft.near,2025-09-01 18:36:22
137814,20000,btc.omft.near,2025-09-01 18:36:22
137815,3650612,btc.omft.near,2025-09-01 18:36:22
137816,27983,btc.omft.near,2025-09-01 18:36:22
137817,2735940,btc.omft.near,2025-09-01 18:36:22
137818,23000,btc.omft.near,2025-09-01 18:36:22
137819,55000,btc.omft.near,2025-09-01 18:36:22
137820,883404,btc.omft.near,2025-09-01 18:36:22
137870,7728700,btc.omft.near,2025-09-01 18:51:51
137871,293100,btc.omft.near,2025-09-01 18:51:51
137872,52434,btc.omft.near,2025-09-01 18:51:51
137873,743474,btc.omft.near,2025-09-01 18:51:51
137874,11327,btc.omft.near,2025-09-01 18:51:51
137875,52513,btc.omft.near,2025-09-01 18:51:51
137876,5990000,btc.omft.near,2025-09-01 18:51:51
137877,11000,btc.omft.near,2025-09-01 18:51:51
137893,25000,btc.omft.near,2025-09-01 18:56:37
137894,32415,btc.omft.near,2025-09-01 18:56:37
137895,7998864,btc.omft.near,2025-09-01 18:56:37
137896,3000000,btc.omft.near,2025-09-01 18:56:37
137899,300000,btc.omft.near,2025-09-01 18:57:17
137900,11805,btc.omft.near,2025-09-01 18:57:17
137901,10000,btc.omft.near,2025-09-01 18:57:18
137902,1160000,btc.omft.near,2025-09-01 18:57:18
137903,191809,btc.omft.near,2025-09-01 18:57:18
137904,105000,btc.omft.near,2025-09-01 18:57:18
137905,150000,btc.omft.near,2025-09-01 18:57:18
137906,20814,btc.omft.near,2025-09-01 18:57:18
137907,13000,btc.omft.near,2025-09-01 18:57:18
137908,19270,btc.omft.near,2025-09-01 18:57:18
137909,90000,btc.omft.near,2025-09-01 18:57:18
137910,46000,btc.omft.near,2025-09-01 18:57:18
137911,43888,btc.omft.near,2025-09-01 18:57:18
137912,41541,btc.omft.near,2025-09-01 18:57:18
137913,12126,btc.omft.near,2025-09-01 18:57:18
137914,10000,btc.omft.near,2025-09-01 18:57:18
137915,20000,btc.omft.near,2025-09-01 18:57:18
137916,219827,btc.omft.near,2025-09-01 18:57:18
137917,10895,btc.omft.near,2025-09-01 18:57:18
137918,11100,btc.omft.near,2025-09-01 18:57:18
137928,560000,btc.omft.near,2025-09-01 19:00:55
137929,137400,btc.omft.near,2025-09-01 19:00:55
137930,904100,btc.omft.near,2025-09-01 19:00:55
137945,25167,btc.omft.near,2025-09-01 19:10:50
137946,15000,btc.omft.near,2025-09-01 19:10:50
137957,11000,btc.omft.near,2025-09-01 19:15:45
137958,12000,btc.omft.near,2025-09-01 19:15:45
137959,93086,btc.omft.near,2025-09-01 19:15:45
137960,600000,btc.omft.near,2025-09-01 19:15:45
138012,27000,btc.omft.near,2025-09-01 19:29:37
138013,18948,btc.omft.near,2025-09-01 19:29:37
138015,20750,btc.omft.near,2025-09-01 19:29:56
138016,869900,btc.omft.near,2025-09-01 19:29:56
138017,10000,btc.omft.near,2025-09-01 19:29:56
138018,18000,btc.omft.near,2025-09-01 19:29:56
138019,20000,btc.omft.near,2025-09-01 19:29:56
138020,68214,btc.omft.near,2025-09-01 19:29:56
138021,150000,btc.omft.near,2025-09-01 19:29:56
138022,30000,btc.omft.near,2025-09-01 19:29:57
138069,50000,btc.omft.near,2025-09-01 19:43:44
138070,100000,btc.omft.near,2025-09-01 19:43:44
138071,15251,btc.omft.near,2025-09-01 19:43:44
138072,200000,btc.omft.near,2025-09-01 19:43:44
138073,900000,btc.omft.near,2025-09-01 19:43:44
138074,24270,btc.omft.near,2025-09-01 19:43:44
138075,551344,btc.omft.near,2025-09-01 19:43:44
138099,35000,btc.omft.near,2025-09-01 19:48:46
138100,15000,btc.omft.near,2025-09-01 19:48:46
138125,29148,btc.omft.near,2025-09-01 19:56:47
138126,91902,btc.omft.near,2025-09-01 19:56:47
138127,16933,btc.omft.near,2025-09-01 19:56:47
138136,23131,btc.omft.near,2025-09-01 19:59:00
138137,13543,btc.omft.near,2025-09-01 19:59:00
138154,20800,btc.omft.near,2025-09-01 20:04:11
138179,330214,btc.omft.near,2025-09-01 20:12:36
138180,30000,btc.omft.near,2025-09-01 20:12:36
138181,19000,btc.omft.near,2025-09-01 20:12:36
138182,110000,btc.omft.near,2025-09-01 20:12:36
138183,164444,btc.omft.near,2025-09-01 20:12:36
138184,582700,btc.omft.near,2025-09-01 20:12:36
138185,234408,btc.omft.near,2025-09-01 20:12:36
138249,26805,btc.omft.near,2025-09-01 20:33:15
138250,1590000,btc.omft.near,2025-09-01 20:33:15
138251,95000,btc.omft.near,2025-09-01 20:33:15
138252,25777,btc.omft.near,2025-09-01 20:33:15
138253,109283,btc.omft.near,2025-09-01 20:33:15
138254,50000,btc.omft.near,2025-09-01 20:33:15
138299,90000,btc.omft.near,2025-09-01 20:44:46
138300,18000,btc.omft.near,2025-09-01 20:44:46
138301,300000,btc.omft.near,2025-09-01 20:44:46
138435,12000,btc.omft.near,2025-09-01 21:27:45
138436,16660000,btc.omft.near,2025-09-01 21:27:45
138437,47000,btc.omft.near,2025-09-01 21:27:45
138438,11420109,btc.omft.near,2025-09-01 21:27:45
138439,40000,btc.omft.near,2025-09-01 21:27:45
138440,10000,btc.omft.near,2025-09-01 21:27:45
138441,20000000,btc.omft.near,2025-09-01 21:27:45
138442,263067,btc.omft.near,2025-09-01 21:27:45
138443,37917,btc.omft.near,2025-09-01 21:27:45
138444,100000,btc.omft.near,2025-09-01 21:27:45
138445,1000000,btc.omft.near,2025-09-01 21:27:45
138446,90000,btc.omft.near,2025-09-01 21:27:46
138457,166141,btc.omft.near,2025-09-01 21:31:46
138500,18000,btc.omft.near,2025-09-01 21:41:40
138501,29000,btc.omft.near,2025-09-01 21:41:40
